"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","266","0","","0"
"0","","44","record import","0","0","","0"
"0","","17","record common","0","0","","0"
"0","","34","record export","0","0","","0"
"0","","4","plugin upload","0","0","","0"
"0","","5","customize export","1","0","","0"
"0","","2","plugin info","0","0","","0"
"0","","3","plugin pack","0","0","","0"
"0","","32","record delete","0","0","","0"
"0","","4","customize init","0","0","","0"
"0","","1","plugin keygen","0","0","","0"
"0","","4","customize apply","1","0","","0"
