"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 02:54:55 GMT 2024","Tue Jul 23 02:54:56 GMT 2024","675","","CliKintoneTest-15 Should return the error message when the API token is incorrect","","","","CliKintoneTest-15 Should return the error message when the API token is incorrect",""
"passed","Tue Jul 23 02:54:51 GMT 2024","Tue Jul 23 02:54:53 GMT 2024","1354","","CliKintoneTest-6 Should return the error message when the baseUrl is non-existent subdomain","","","","CliKintoneTest-6 Should return the error message when the baseUrl is non-existent subdomain",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","5","convertFieldValue","","","","","[1] convert SINGLE_LINE_TEXT field correctly",""
"passed","Tue Jul 23 02:55:32 GMT 2024","Tue Jul 23 02:55:41 GMT 2024","8815","","CliKintoneTest-35 Should import the records successfully with attachment.","","","","CliKintoneTest-35 Should import the records successfully with attachment.",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","8","convertFieldValue","","","","","[14] convert FILE field correctly",""
"passed","Tue Jul 23 02:57:28 GMT 2024","Tue Jul 23 02:57:31 GMT 2024","3859","","CliKintoneTest-55 Should import the records successfully with --fields specified, including field code of the table.","","","","CliKintoneTest-55 Should import the records successfully with --fields specified, including field code of the table.",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","11","addRecords","","","","","should upload files correctly when attachmentsDir is given and with subtable",""
"passed","Tue Jul 23 02:55:06 GMT 2024","Tue Jul 23 02:55:11 GMT 2024","4362","","CliKintoneTest-26 Should import the records successfully with two valid API Token in different apps.","","","","CliKintoneTest-26 Should import the records successfully with two valid API Token in different apps.",""
"passed","Tue Jul 23 02:54:39 GMT 2024","Tue Jul 23 02:54:39 GMT 2024","3","ParserError","","","","","should throw error when the record number field code is not found",""
"passed","Tue Jul 23 02:56:53 GMT 2024","Tue Jul 23 02:57:04 GMT 2024","11147","","CliKintoneTest-47 Should upsert the records successfully with --update-key is a Number field.","","","","CliKintoneTest-47 Should upsert the records successfully with --update-key is a Number field.",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","3","api","","","","","should pass username and password to the apiClient correctly",""
"passed","Tue Jul 23 02:57:10 GMT 2024","Tue Jul 23 02:57:15 GMT 2024","4406","","CliKintoneTest-50 Should return the error message when upserting with an API Token without Edit permission.","","","","CliKintoneTest-50 Should return the error message when upserting with an API Token without Edit permission.",""
"passed","Tue Jul 23 02:54:53 GMT 2024","Tue Jul 23 02:54:53 GMT 2024","110","","CliKintoneTest-8 Should return the error message when the protocol of baseUrl is not HTTPS","","","","CliKintoneTest-8 Should return the error message when the protocol of baseUrl is not HTTPS",""
"passed","Tue Jul 23 02:57:04 GMT 2024","Tue Jul 23 02:57:07 GMT 2024","3022","","CliKintoneTest-125 Should return only field codes when exporting the records of the app which no data","","","","CliKintoneTest-125 Should return only field codes when exporting the records of the app which no data",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","7","StandardLogger","","","","","should display WARN message when calling logger with ""warn"" level",""
"passed","Tue Jul 23 02:54:56 GMT 2024","Tue Jul 23 02:54:57 GMT 2024","675","","CliKintoneTest-17 Should return the error message when the user information is incorrect","","","","CliKintoneTest-17 Should return the error message when the user information is incorrect",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:36 GMT 2024","12","csvStringifier","","","","","should convert kintone records to csv string correctly when SUBTABLE included with attachmentsDir option",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","19","getRecords","","","","","can download files in subtable to a specified directory",""
"passed","Tue Jul 23 02:54:38 GMT 2024","Tue Jul 23 02:54:38 GMT 2024","5","logHandler","","","","","should set ""fatal"" to the log config level when log-level argument is ""fatal""",""
"passed","Tue Jul 23 02:55:09 GMT 2024","Tue Jul 23 02:55:09 GMT 2024","681","","CliKintoneTest-84 Should return the error message when exporting the record with duplicated API Tokens in same app.","","","","CliKintoneTest-84 Should return the error message when exporting the record with duplicated API Tokens in same app.",""
"passed","Tue Jul 23 02:54:34 GMT 2024","Tue Jul 23 02:54:34 GMT 2024","18","getRecords","","","","","can download files to a specified directory",""
"passed","Tue Jul 23 02:54:36 GMT 2024","Tue Jul 23 02:54:37 GMT 2024","651","main","","","","","should throw error when an undefined argument is passed",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","8","convertFieldValue","","","","","[12] convert MULTI_SELECT field correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","13","convertFieldValue","","","","","[21] convert USER_SELECT field correctly",""
"passed","Tue Jul 23 02:54:37 GMT 2024","Tue Jul 23 02:54:37 GMT 2024","7","File Generator functions","Generate file success","","","","should generate file correctly",""
"passed","Tue Jul 23 02:54:35 GMT 2024","Tue Jul 23 02:54:35 GMT 2024","14","convertFieldValue","","","","","[25] convert GROUP_SELECT field correctly",""
"passed","Tue Jul 23 02:55:42 GMT 2024","Tue Jul 23 02:55:52 GMT 2024","10396","","CliKintoneTest-141 Should delete the records of the app that have set the App Code, and the Record_number contains the App Code.","","","","CliKintoneTest-141 Should delete the records of the app that have set the App Code, and the Record_number contains the App Code.",""
