"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","[19] convert TIME field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","3928","CliKintoneTest-127 Should delete the records of the app in a space.","","Thu Dec 19 16:02:44 GMT 2024","passed","Thu Dec 19 16:02:48 GMT 2024","","CliKintoneTest-127 Should delete the records of the app in a space.","",""
"","3247","CliKintoneTest-81 Should return the record contents in CSV format.","","Thu Dec 19 16:02:50 GMT 2024","passed","Thu Dec 19 16:02:53 GMT 2024","","CliKintoneTest-81 Should return the record contents in CSV format.","",""
"","3329","CliKintoneTest-100 Should return the record contents when exporting the record with --fields specified.","","Thu Dec 19 16:03:55 GMT 2024","passed","Thu Dec 19 16:03:58 GMT 2024","","CliKintoneTest-100 Should return the record contents when exporting the record with --fields specified.","",""
"","333","should throw error when an undefined command is passed","main","Thu Dec 19 16:01:46 GMT 2024","passed","Thu Dec 19 16:01:46 GMT 2024","","","",""
"","3161","CliKintoneTest-23 Should import the records with API Token successfully.","","Thu Dec 19 16:02:41 GMT 2024","passed","Thu Dec 19 16:02:44 GMT 2024","","CliKintoneTest-23 Should import the records with API Token successfully.","",""
"","1","[16] convert DATE field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","0","[10] convert RADIO_BUTTON field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","1","should throw error because the record number is invalid","upsertRecords","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","7294","CliKintoneTest-135 Should delete the specified records successfully by --file-path option.","","Thu Dec 19 16:03:02 GMT 2024","passed","Thu Dec 19 16:03:09 GMT 2024","","CliKintoneTest-135 Should delete the specified records successfully by --file-path option.","",""
"","2","can read utf8 encoded csv file correctly","readFile","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","3399","CliKintoneTest-60 Should import the records successfully with the correct guest space id.","","Thu Dec 19 16:04:44 GMT 2024","passed","Thu Dec 19 16:04:47 GMT 2024","","CliKintoneTest-60 Should import the records successfully with the correct guest space id.","",""
"","6942","CliKintoneTest-40 Should import the records successfully with .txt attachment.","","Thu Dec 19 16:03:48 GMT 2024","passed","Thu Dec 19 16:03:55 GMT 2024","","CliKintoneTest-40 Should import the records successfully with .txt attachment.","",""
"","536","App does not exist","","Thu Dec 19 16:02:43 GMT 2024","passed","Thu Dec 19 16:02:43 GMT 2024","","App does not exist","",""
"","118","Base URL is not specified","","Thu Dec 19 16:02:42 GMT 2024","passed","Thu Dec 19 16:02:42 GMT 2024","","Base URL is not specified","",""
"","2","should convert kintone records to csv string correctly when FILE included and without attachmentsDir option","csvStringifier","Thu Dec 19 16:01:45 GMT 2024","passed","Thu Dec 19 16:01:45 GMT 2024","","","",""
"","1","should return the export query correctly","Record command","Thu Dec 19 16:01:44 GMT 2024","passed","Thu Dec 19 16:01:44 GMT 2024","","Valid parameters","",""
"","0","[18] convert TIME field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","31","invalid `https-url`","validate","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","0","[9] convert UPDATED_TIME field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","6","can download files to a specified directory","getRecords","Thu Dec 19 16:01:42 GMT 2024","passed","Thu Dec 19 16:01:42 GMT 2024","","","",""
"","1056","CliKintoneTest-20 Should return the error message when the user has no privilege to add records.","","Thu Dec 19 16:02:44 GMT 2024","passed","Thu Dec 19 16:02:46 GMT 2024","","CliKintoneTest-20 Should return the error message when the user has no privilege to add records.","",""
"","4500","CliKintoneTest-124 Should return the record contents successfully, including table data, when exporting the records","","Thu Dec 19 16:04:17 GMT 2024","passed","Thu Dec 19 16:04:21 GMT 2024","","CliKintoneTest-124 Should return the record contents successfully, including table data, when exporting the records","",""
"","2","should be constructed with string cause","ParserError","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","1","should display INFO message when calling logger with ""info"" level","StandardLogger","Thu Dec 19 16:01:44 GMT 2024","passed","Thu Dec 19 16:01:44 GMT 2024","","","",""
"","1","should return the delete query correctly","Record command","Thu Dec 19 16:01:44 GMT 2024","passed","Thu Dec 19 16:01:44 GMT 2024","","Valid parameters","",""
"","4716","CliKintoneTest-170 Should not delete the records when pressing Enter (without a specific answer) in the confirmation prompt.","","Thu Dec 19 16:04:16 GMT 2024","passed","Thu Dec 19 16:04:20 GMT 2024","","CliKintoneTest-170 Should not delete the records when pressing Enter (without a specific answer) in the confirmation prompt.","",""
"","1","should set ""info"" to the log config level when log-level argument is ""info""","logHandler","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","517","Incorrect password","","Thu Dec 19 16:02:46 GMT 2024","passed","Thu Dec 19 16:02:47 GMT 2024","","Incorrect password","",""
"","7","should convert subtable included csv string to JSON correctly","parseCsv","Thu Dec 19 16:01:47 GMT 2024","passed","Thu Dec 19 16:01:47 GMT 2024","","","",""
"","2","should display the correct log message corresponding to the log config level","StandardLogger","Thu Dec 19 16:01:44 GMT 2024","passed","Thu Dec 19 16:01:44 GMT 2024","","","",""
"","3","should show progress logs correctly","ProgressLogger","Thu Dec 19 16:01:45 GMT 2024","passed","Thu Dec 19 16:01:45 GMT 2024","","","",""
"","2","should throw error when API response is error","getRecords","Thu Dec 19 16:01:42 GMT 2024","passed","Thu Dec 19 16:01:42 GMT 2024","","","",""
"","0","should set ""error"" to the log config level when log-level argument is ""error""","logHandler","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","1","alphabet","hex2a","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","1370","CliKintoneTest-143 Should return the error message when deleting records with incorrect App Code.","","Thu Dec 19 16:03:36 GMT 2024","passed","Thu Dec 19 16:03:37 GMT 2024","","CliKintoneTest-143 Should return the error message when deleting records with incorrect App Code.","",""
"","0","[12] convert MULTI_SELECT field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","889","CliKintoneTest-103 Should return the error message when exporting records with --fields specified, including fields within a table.","","Thu Dec 19 16:04:03 GMT 2024","passed","Thu Dec 19 16:04:04 GMT 2024","","CliKintoneTest-103 Should return the error message when exporting records with --fields specified, including fields within a table.","",""
"","1","userSelected should create schema correctly","createSchema","Thu Dec 19 16:01:49 GMT 2024","passed","Thu Dec 19 16:01:49 GMT 2024","","","",""
"","1","should upsert records correctly with single line text","upsertRecords","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","504","CliKintoneTest-25 Should return the error message when importing records with two valid API Token.","","Thu Dec 19 16:02:53 GMT 2024","passed","Thu Dec 19 16:02:54 GMT 2024","","CliKintoneTest-25 Should return the error message when importing records with two valid API Token.","",""
"","1","[19] convert FILE field correctly","convertFieldValue","Thu Dec 19 16:01:43 GMT 2024","passed","Thu Dec 19 16:01:43 GMT 2024","","","",""
"","1","should not display any message when calling logger with 'none' level","StandardLogger","Thu Dec 19 16:01:44 GMT 2024","passed","Thu Dec 19 16:01:44 GMT 2024","","","",""
